Alabama|AL|Montgomery|Birmingham
Alaska|AK|Juneau|Anchorage
Arizona|AZ|Phoenix|Phoenix
Arkansas|AR|Little Rock|Little Rock
California|CA|Sacramento|Los Angeles
Colorado|CO|Denver|Denver
Connecticut|CT|Hartford|Bridgeport
Delaware|DE|Dover|Wilmington
Florida|FL|Tallahassee|Jacksonville
Georgia|GA|Atlanta|Atlanta
Hawaii|HI|Honolulu|Honolulu
Idaho|ID|Boise|Boise
Illinois|IL|Springfield|Chicago
Indiana|IN|Indianapolis|Indianapolis
Iowa|IA|Des Moines|Des Moines
Kansas|KS|Topeka|Wichita
Kentucky|KY|Frankfort|Louisville
Louisiana|LA|Baton Rouge|New Orleans
Maine|ME|Augusta|Portland
Maryland|MD|Annapolis|Baltimore
Massachusetts|MA|Boston|Boston
Michigan|MI|Lansing|Detroit
Minnesota|MN|St. Paul|Minneapolis
Mississippi|MS|Jackson|Jackson
Missouri|MO|Jefferson City|Kansas City
Montana|MT|Helena|Billings
Nebraska|NE|Lincoln|Omaha
Nevada|NV|Carson City|Las Vegas
New Hampshire|NH|Concord|Manchester
New Jersey|NJ|Trenton|Newark
New Mexico|NM|Santa Fe|Albuquerque
New York|NY|Albany|New York City
North Carolina|NC|Raleigh|Charlotte
North Dakota|ND|Bismarck|Fargo
Ohio|OH|Columbus|Columbus
Oklahoma|OK|Oklahoma City|Oklahoma City
Oregon|OR|Salem|Portland
Pennsylvania|PA|Harrisburg|Philadelphia
Rhode Island|RI|Providence|Providence
South Carolina|SC|Columbia|Columbia
South Dakota|SD|Pierre|Sioux Falls
Tennessee|TN|Nashville|Memphis
Texas|TX|Austin|Houston
Utah|UT|Salt Lake City|Salt Lake City
Vermont|VT|Montpelier|Burlington
Virginia|VA|Richmond|Virginia Beach
Washington|WA|Olympia|Seattle
West Virginia|WV|Charleston|Charleston
Wisconsin|WI|Madison|Milwaukee
Wyoming|WY|Cheyenne|Cheyenne
